,sn,name,mjd,flux,fluxerr,magsys,exptime,valid,lc,band,mag_sky,seeing,zp
45,262,262,57783.44921875,5397.331849843142,176.26450631968962,AB,NaN,1,15,hsc::i2,NaN,NaN,32.77840805053711
46,262,262,57776.40234375,3901.8176443034886,58.33111090105065,AB,NaN,1,16,hsc::r2,NaN,NaN,32.53818130493164
47,262,262,57834.43359375,602.4193638120762,58.89652589072821,AB,NaN,1,17,hsc::z,NaN,NaN,31.978408813476562
48,262,262,57816.30859375,1053.5876321856556,69.20239477838602,AB,NaN,1,17,hsc::z,NaN,NaN,31.978408813476562
49,262,262,57774.47265625,3067.1386292036545,55.39986262611087,AB,NaN,1,17,hsc::z,NaN,NaN,31.978408813476562
50,262,262,57776.5078125,6066.641454329679,123.40697498152278,AB,NaN,1,15,hsc::i2,NaN,NaN,32.77840805053711
51,262,262,57786.4609375,2413.345443472998,82.69358611051213,AB,NaN,1,16,hsc::r2,NaN,NaN,32.53818130493164
52,371,371,58779.5390625,1315.1382873834073,107.88175549353915,AB,NaN,1,20,hsc::z,NaN,NaN,32.092803955078125
53,371,371,58783.4375,1117.724795221531,156.59350569179995,AB,NaN,1,19,hsc::i2,NaN,NaN,32.89280319213867
54,371,371,58753.34375,595.1491052690712,105.23154893567938,AB,NaN,1,18,hsc::g,NaN,NaN,33.092803955078125
55,371,371,58779.51953125,1163.3585032377496,97.8442095876308,AB,NaN,1,20,hsc::z,NaN,NaN,32.092803955078125
56,371,371,58787.5234375,894.8464615488167,101.05475761416241,AB,NaN,1,20,hsc::z,NaN,NaN,32.092803955078125
57,371,371,58787.52734375,918.8178213559783,109.43239602914818,AB,NaN,1,20,hsc::z,NaN,NaN,32.092803955078125
58,371,371,58787.53125,907.2959500434756,111.78234466604424,AB,NaN,1,20,hsc::z,NaN,NaN,32.092803955078125
59,371,371,58783.453125,1003.3768856825906,159.10517050108314,AB,NaN,1,19,hsc::i2,NaN,NaN,32.89280319213867
60,511,511,58876.23046875,2687.5560636243154,321.16668796221876,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
61,511,511,58900.24609375,1151.2508509473903,225.56625042582817,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
62,511,511,58876.28125,2338.3151598619056,95.08983077471146,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
63,511,511,58869.2734375,2271.4398297022412,77.30995933760946,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
64,511,511,58876.27734375,2287.051573249136,86.8290820202528,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
65,511,511,58876.2734375,2235.522132944686,73.67244412850259,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
66,511,511,58876.2421875,2301.3122003128046,96.67073838021639,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
67,511,511,58900.25,1398.931345532532,182.1638602552996,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
68,511,511,58849.375,4244.284530352956,257.581213722975,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
69,511,511,58845.29296875,6680.116923334433,59.68313924368381,AB,NaN,1,22,hsc::g,NaN,NaN,33.092803955078125
70,511,511,58904.24609375,1032.3055707669264,93.5774480708363,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
71,511,511,58904.25,1087.7983497701734,108.28354167792227,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
72,511,511,58904.25390625,1276.8012383942523,132.69841005124348,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
73,511,511,58874.33203125,6273.532439998916,142.04409377225022,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
74,511,511,58874.328125,6157.946999334732,117.46444917745939,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
75,511,511,58904.234375,999.9006452254303,169.11779202500824,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
76,511,511,58874.3359375,6223.100450862537,139.7124769013988,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
77,511,511,58903.25390625,2262.9809472247025,194.75860501687058,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
78,511,511,58903.2578125,2264.513471867409,140.26912125344768,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
79,511,511,58845.2890625,6762.409685912299,66.40082661424898,AB,NaN,1,22,hsc::g,NaN,NaN,33.092803955078125
80,511,511,58903.26171875,2519.523071283348,119.78947577216832,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
81,511,511,58903.265625,2144.451326240092,162.72697921666222,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
82,511,511,58904.2421875,1233.7131217839903,118.98017923460985,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
83,511,511,58867.31640625,3870.3225422037053,244.4638430948811,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
84,511,511,58874.234375,3189.40910718483,301.5724093279752,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
85,511,511,58837.33203125,4724.145005200464,127.06124943935798,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
86,511,511,58874.32421875,6039.775891868807,107.78101699469521,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
87,511,511,58849.328125,4052.4457844321237,132.73060734127023,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
88,511,511,58904.23046875,1464.4422477530588,266.57270411668145,AB,NaN,1,24,hsc::r2,NaN,NaN,33.092803955078125
89,511,511,58839.3671875,11445.571421434155,878.9936859117975,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
90,511,511,58874.2578125,3431.446738398434,287.69027116354886,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
91,511,511,58874.25390625,2963.5518021933594,194.01341118758302,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
92,511,511,58869.27734375,2300.327709024788,103.28469529517119,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
93,511,511,58869.28125,2108.710727015163,76.83312742091631,AB,NaN,1,21,hsc::Y,NaN,NaN,31.69280242919922
94,511,511,58874.23828125,3270.0950591631495,255.8275179856394,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
95,511,511,58848.24609375,13826.052472994039,164.30630548646567,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
96,511,511,58903.26953125,2145.849453435581,168.56556422124652,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
97,511,511,58874.24609375,3089.80920582871,103.90603557428406,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
98,511,511,58874.2421875,3319.684972304666,104.05849867356329,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
99,511,511,58874.3046875,6403.292132947237,212.99381163764463,AB,NaN,1,23,hsc::i2,NaN,NaN,32.89280319213867
100,511,511,58874.25,3110.536889862033,144.47988103680817,AB,NaN,1,25,hsc::z,NaN,NaN,32.092803955078125
101,597,597,57834.43359375,719.7052856705309,59.23331484643537,AB,NaN,1,28,hsc::z,NaN,NaN,31.978408813476562
102,597,597,57816.30859375,1557.0769157579841,69.79431364482343,AB,NaN,1,28,hsc::z,NaN,NaN,31.978408813476562
103,597,597,57786.4609375,3368.66044090028,84.58513889448245,AB,NaN,1,27,hsc::r2,NaN,NaN,32.53818130493164
104,597,597,57809.421875,3016.519272509897,232.88343229625906,AB,NaN,1,26,hsc::i2,NaN,NaN,32.77840805053711
105,597,597,57783.44921875,4177.975947495661,175.3288159017465,AB,NaN,1,26,hsc::i2,NaN,NaN,32.77840805053711
106,614,614,58869.28125,1135.8440658335865,74.62075358313315,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
107,614,614,58876.2421875,1090.6400004481832,94.58491688569543,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
108,614,614,58869.27734375,1219.5746483298935,101.64964042918447,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
109,614,614,58874.23828125,1412.5155846769164,254.7230129496385,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
110,614,614,58874.2578125,1569.2586575603414,286.70908973313544,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
111,614,614,58874.25390625,1261.9671285306886,192.55531838779774,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
112,614,614,58874.25,1331.648088825074,142.5156827608581,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
113,614,614,58874.24609375,1419.367718093149,101.15673446373097,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
114,614,614,58874.2421875,1247.4631812647592,101.31302344367619,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
115,614,614,58867.31640625,1935.8852740871619,243.01658023747754,AB,NaN,1,31,hsc::z,NaN,NaN,32.092803955078125
116,614,614,58874.3359375,2455.356488433899,135.61339544529804,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
117,614,614,58874.33203125,2516.4154364585092,138.01392671040833,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
118,614,614,58874.328125,2588.595184708657,112.55717965469682,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
119,614,614,58874.32421875,2669.357430182665,102.41031159060559,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
120,614,614,58874.3046875,2112.187368196416,210.3259342782519,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
121,614,614,58876.28125,1107.5832351566148,92.9651917722097,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
122,614,614,58876.27734375,936.3890310732901,84.49735407749807,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
123,614,614,58869.2734375,1216.3226782736174,75.11154745702325,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
124,614,614,58848.24609375,1497.648737247908,152.2832564055417,AB,NaN,1,30,hsc::i2,NaN,NaN,32.89280319213867
125,614,614,58876.2734375,970.5960370096819,70.90983553116418,AB,NaN,1,29,hsc::Y,NaN,NaN,31.69280242919922
126,623,623,58783.43359375,2654.8509009073578,209.65881997739174,AB,NaN,1,33,hsc::i2,NaN,NaN,32.89280319213867
127,623,623,58787.53125,2208.1595578827796,113.31730563908833,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
128,623,623,58820.2890625,744.3596854791859,118.42597946680364,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
129,623,623,58814.2421875,718.1148742360065,132.67306644076658,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
130,623,623,58814.23828125,744.9254516167241,137.90007702399592,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
131,623,623,58779.5390625,2103.7308799401126,109.26063760806566,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
132,623,623,58779.51953125,2485.8328007573546,99.36188247804121,AB,NaN,1,34,hsc::z,NaN,NaN,32.092803955078125
133,623,623,58753.34375,2007.9123363372873,107.92145970540368,AB,NaN,1,32,hsc::g,NaN,NaN,33.092803955078125
134,623,623,58753.43359375,2180.984640060097,96.55471117183669,AB,NaN,1,32,hsc::g,NaN,NaN,33.092803955078125
135,623,623,58783.4375,2863.543434390727,158.34695569902183,AB,NaN,1,33,hsc::i2,NaN,NaN,32.89280319213867
136,656,656,57805.34765625,4540.4181760140855,124.79903386445281,AB,NaN,1,39,hsc::z,NaN,NaN,31.978408813476562
137,656,656,57816.31640625,5210.153544750457,84.08510610945459,AB,NaN,1,39,hsc::z,NaN,NaN,31.978408813476562
138,656,656,57834.44140625,3180.6508605409495,81.21323124254907,AB,NaN,1,39,hsc::z,NaN,NaN,31.978408813476562
139,656,656,57834.296875,607.8967226120142,63.23818332385992,AB,NaN,1,36,hsc::g,NaN,NaN,32.53818130493164
140,656,656,57809.4296875,11211.054801913117,338.021363297702,AB,NaN,1,37,hsc::i2,NaN,NaN,32.77840805053711
141,656,656,57837.2734375,2870.8686352699383,130.99207339354064,AB,NaN,1,38,hsc::r2,NaN,NaN,32.53818130493164
142,656,656,57819.45703125,2661.4562174978923,66.06003748653069,AB,NaN,1,35,hsc::Y,NaN,NaN,31.57840919494629
143,656,656,57818.53125,6681.825824278335,149.63460302527378,AB,NaN,1,38,hsc::r2,NaN,NaN,32.53818130493164
144,656,656,57807.48046875,6877.398122566455,75.7338238778457,AB,NaN,1,38,hsc::r2,NaN,NaN,32.53818130493164
145,656,656,57834.48828125,2870.4919482394534,273.7413638875139,AB,NaN,1,39,hsc::z,NaN,NaN,31.978408813476562
146,696,696,57783.44140625,3387.5840604210566,168.91353212692968,AB,NaN,1,41,hsc::i2,NaN,NaN,32.89280319213867
147,696,696,57811.40625,953.2099824550447,159.23065688818366,AB,NaN,1,40,hsc::Y,NaN,NaN,31.69280242919922
148,696,696,57783.4453125,3420.8542062414053,226.56026133049957,AB,NaN,1,41,hsc::i2,NaN,NaN,32.89280319213867
149,696,696,57809.41796875,1596.6155078185475,197.91171255751064,AB,NaN,1,41,hsc::i2,NaN,NaN,32.89280319213867
150,696,696,57805.359375,1338.8892405302834,131.69903432414978,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
151,696,696,57776.3984375,1763.9302363943893,87.32236496091777,AB,NaN,1,42,hsc::r2,NaN,NaN,33.092803955078125
152,696,696,57786.45703125,1587.3776514519893,94.46201046729816,AB,NaN,1,42,hsc::r2,NaN,NaN,33.092803955078125
153,696,696,57774.48828125,1613.678762623852,43.70341923241046,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
154,696,696,57774.4921875,1656.8996456552677,45.014675112579866,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
155,696,696,57783.5703125,2143.3621652961056,98.51904116096948,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
156,696,696,57783.57421875,1944.6997232808715,97.27492009383143,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
157,696,696,57805.35546875,1214.7121735121452,110.51105888651453,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
158,696,696,57805.36328125,1296.454029644399,72.80116932688493,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
159,696,696,57834.42578125,400.7930007044039,75.70259354354887,AB,NaN,1,43,hsc::z,NaN,NaN,32.092803955078125
160,696,696,57816.46484375,1073.1865491939895,149.39186852099135,AB,NaN,1,41,hsc::i2,NaN,NaN,32.89280319213867
161,699,699,58869.28125,1425.182358135335,74.88674666981929,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
162,699,699,58876.2421875,1442.6656139189067,95.1948660189821,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
163,699,699,58876.27734375,1248.2127526592274,85.18231070251264,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
164,699,699,58903.26953125,841.7917553737998,167.42315888487386,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
165,699,699,58874.33203125,3151.014878359632,138.76641818543743,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
166,699,699,58876.2734375,1286.7611334857331,71.72430638450608,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
167,699,699,58874.3359375,3014.7018748623227,136.3795177884132,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
168,699,699,58903.2578125,917.0506721736183,138.89408360738767,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
169,699,699,58903.265625,1025.7210878671258,161.5432642159415,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
170,699,699,58903.26171875,1043.1550302127405,118.17642260758362,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
171,699,699,58874.32421875,3321.2863966315417,103.42116207721362,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
172,699,699,58869.2734375,1170.4639723216205,75.37522584877846,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
173,699,699,58869.27734375,1314.2191523584731,101.84484986583514,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
174,699,699,58903.25390625,1198.066246368306,193.77060187029738,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
175,699,699,58876.28125,1327.0565628517195,93.58847118590005,AB,NaN,1,44,hsc::Y,NaN,NaN,31.69280242919922
176,699,699,58874.3046875,3052.2817415548147,210.81873403794557,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
177,699,699,58874.328125,3173.090980091291,113.47814129468414,AB,NaN,1,45,hsc::i2,NaN,NaN,32.89280319213867
178,699,699,58874.2578125,2756.875962902545,287.0340772891412,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
179,699,699,58874.25390625,1973.053116870397,193.03876916526895,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
180,699,699,58874.25,1986.440515238992,143.1680549214193,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
181,699,699,58874.24609375,1905.4789326155922,102.07356840839529,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
182,699,699,58874.2421875,2013.9063386162254,102.22824201967202,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
183,699,699,58874.23828125,1662.341805632086,255.08832657720225,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
184,699,699,58874.234375,2360.457971656476,300.9454212689196,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
185,699,699,58867.31640625,1463.8932907932326,243.16661506743927,AB,NaN,1,46,hsc::z,NaN,NaN,32.092803955078125
186,758,758,57842.2734375,7826.3180995275525,112.10007963054493,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
187,758,758,57835.2578125,8912.832957426159,136.2765493944622,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
188,758,758,57816.46484375,6428.659398638371,155.12774864658402,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
189,758,758,57809.44140625,3125.068805926454,333.7352856176825,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
190,758,758,57809.421875,3115.3339297968487,233.10192215537407,AB,NaN,1,49,hsc::i2,NaN,NaN,32.77840805053711
191,758,758,57866.36328125,2021.1408378499686,105.36989510425268,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
192,758,758,57834.3046875,1091.565920479936,55.74130165971073,AB,NaN,1,48,hsc::g,NaN,NaN,32.53818130493164
193,758,758,57833.3984375,3376.215811736729,188.36204643269326,AB,NaN,1,47,hsc::Y,NaN,NaN,31.69280242919922
194,758,758,57833.37109375,3043.223351908753,90.81757298757805,AB,NaN,1,47,hsc::Y,NaN,NaN,31.69280242919922
195,758,758,57842.27734375,7753.199008335665,123.78473105666957,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
196,758,758,57833.36328125,2886.304951237018,147.5546720707279,AB,NaN,1,47,hsc::Y,NaN,NaN,31.69280242919922
197,758,758,57809.41796875,3307.3251539337866,199.33239338426586,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
198,758,758,57833.3671875,3201.4457569466613,126.2421852398648,AB,NaN,1,47,hsc::Y,NaN,NaN,31.69280242919922
199,758,758,57869.26171875,2185.6284708629905,164.2123813686087,AB,NaN,1,49,hsc::i2,NaN,NaN,32.89280319213867
200,758,758,57805.35546875,555.6413177280483,109.55634584784652,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
201,758,758,57866.359375,2190.8591743987413,97.01054321526571,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
202,758,758,57866.3515625,2169.624030124839,275.60135260083416,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
203,758,758,57866.33984375,1942.3045196989333,332.39382259050285,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
204,758,758,57834.43359375,3883.46555685946,66.70167352633331,AB,NaN,1,51,hsc::z,NaN,NaN,31.978408813476562
205,758,758,57834.4296875,4221.782331602088,77.74212545530328,AB,NaN,0,51,hsc::z,NaN,NaN,32.092803955078125
206,758,758,57834.42578125,4161.008708332257,83.25719010848799,AB,NaN,0,51,hsc::z,NaN,NaN,32.092803955078125
207,758,758,57834.421875,4114.57582076281,107.14803921649259,AB,NaN,0,51,hsc::z,NaN,NaN,32.092803955078125
208,758,758,57866.3671875,2070.823261281121,125.78446471395264,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
209,758,758,57818.5078125,8579.675857244942,119.00576093593561,AB,NaN,1,50,hsc::r2,NaN,NaN,33.092803955078125
210,758,758,57866.37109375,2148.872187772292,153.11710067419958,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
211,758,758,57872.25390625,1726.534268086402,158.53942767918707,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
212,758,758,57872.2578125,1634.3954641310424,105.96888293145105,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
213,758,758,57872.26171875,1763.294437937152,96.35287002475698,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
214,758,758,57872.265625,1750.4045678121975,105.98013179330208,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
215,758,758,57872.26953125,1703.7400589103281,138.00255814061356,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
216,758,758,57872.2734375,2021.0901741522841,185.16463786654433,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
217,758,758,57816.30859375,2704.287961531797,72.53927333677314,AB,NaN,1,51,hsc::z,NaN,NaN,31.978408813476562
218,758,758,57805.36328125,622.8021321796632,71.34751735570127,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
219,758,758,57872.25,1798.0011142746266,159.27855360957003,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
220,758,758,57866.35546875,2098.75144061542,156.99335622780802,AB,NaN,1,51,hsc::z,NaN,NaN,32.092803955078125
