sn,fieldid,mjd,band,flux,magsys,exptime,valid,fluxerr,zp,mag_sky,seeing,zpsys,lc,name
511,255920,58874.234375,hsc::z,3189.40910718483,AB,NaN,1,301.5724093279752,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58837.33203125,hsc::z,4724.145005200464,AB,NaN,1,127.06124943935798,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58874.32421875,hsc::i2,6039.775891868807,AB,NaN,1,107.78101699469521,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58849.328125,hsc::Y,4052.4457844321237,AB,NaN,1,132.73060734127023,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58904.23046875,hsc::r2,1464.4422477530588,AB,NaN,1,266.57270411668145,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58839.3671875,hsc::i2,11445.571421434155,AB,NaN,1,878.9936859117975,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58874.2578125,hsc::z,3431.446738398434,AB,NaN,1,287.69027116354886,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58874.25390625,hsc::z,2963.5518021933594,AB,NaN,1,194.01341118758302,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58869.27734375,hsc::Y,2300.327709024788,AB,NaN,1,103.28469529517119,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58869.28125,hsc::Y,2108.710727015163,AB,NaN,1,76.83312742091631,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58874.23828125,hsc::z,3270.0950591631495,AB,NaN,1,255.8275179856394,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58848.24609375,hsc::i2,13826.052472994039,AB,NaN,1,164.30630548646567,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58903.26953125,hsc::i2,2145.849453435581,AB,NaN,1,168.56556422124652,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58874.24609375,hsc::z,3089.80920582871,AB,NaN,1,103.90603557428406,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58874.2421875,hsc::z,3319.684972304666,AB,NaN,1,104.05849867356329,32.092803955078125,NaN,NaN,ab,25,511
511,255920,58874.3046875,hsc::i2,6403.292132947237,AB,NaN,1,212.99381163764463,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58874.25,hsc::z,3110.536889862033,AB,NaN,1,144.47988103680817,32.092803955078125,NaN,NaN,ab,25,511
597,228464,57834.43359375,hsc::z,719.7052856705309,AB,NaN,1,59.23331484643537,31.978408813476562,NaN,NaN,ab,28,597
597,228464,57816.30859375,hsc::z,1557.0769157579841,AB,NaN,1,69.79431364482343,31.978408813476562,NaN,NaN,ab,28,597
597,228464,57786.4609375,hsc::r2,3368.66044090028,AB,NaN,1,84.58513889448245,32.53818130493164,NaN,NaN,ab,27,597
597,228464,57809.421875,hsc::i2,3016.519272509897,AB,NaN,1,232.88343229625906,32.77840805053711,NaN,NaN,ab,26,597
597,228464,57783.44921875,hsc::i2,4177.975947495661,AB,NaN,1,175.3288159017465,32.77840805053711,NaN,NaN,ab,26,597
614,253521,58869.28125,hsc::Y,1135.8440658335865,AB,NaN,1,74.62075358313315,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58876.2421875,hsc::Y,1090.6400004481832,AB,NaN,1,94.58491688569543,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58869.27734375,hsc::Y,1219.5746483298935,AB,NaN,1,101.64964042918447,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58874.23828125,hsc::z,1412.5155846769164,AB,NaN,1,254.7230129496385,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.2578125,hsc::z,1569.2586575603414,AB,NaN,1,286.70908973313544,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.25390625,hsc::z,1261.9671285306886,AB,NaN,1,192.55531838779774,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.25,hsc::z,1331.648088825074,AB,NaN,1,142.5156827608581,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.24609375,hsc::z,1419.367718093149,AB,NaN,1,101.15673446373097,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.2421875,hsc::z,1247.4631812647592,AB,NaN,1,101.31302344367619,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58867.31640625,hsc::z,1935.8852740871619,AB,NaN,1,243.01658023747754,32.092803955078125,NaN,NaN,ab,31,614
614,253521,58874.3359375,hsc::i2,2455.356488433899,AB,NaN,1,135.61339544529804,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58874.33203125,hsc::i2,2516.4154364585092,AB,NaN,1,138.01392671040833,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58874.328125,hsc::i2,2588.595184708657,AB,NaN,1,112.55717965469682,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58874.32421875,hsc::i2,2669.357430182665,AB,NaN,1,102.41031159060559,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58874.3046875,hsc::i2,2112.187368196416,AB,NaN,1,210.3259342782519,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58876.28125,hsc::Y,1107.5832351566148,AB,NaN,1,92.9651917722097,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58876.27734375,hsc::Y,936.3890310732901,AB,NaN,1,84.49735407749807,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58869.2734375,hsc::Y,1216.3226782736174,AB,NaN,1,75.11154745702325,31.69280242919922,NaN,NaN,ab,29,614
614,253521,58848.24609375,hsc::i2,1497.648737247908,AB,NaN,1,152.2832564055417,32.89280319213867,NaN,NaN,ab,30,614
614,253521,58876.2734375,hsc::Y,970.5960370096819,AB,NaN,1,70.90983553116418,31.69280242919922,NaN,NaN,ab,29,614
623,253522,58783.43359375,hsc::i2,2654.8509009073578,AB,NaN,1,209.65881997739174,32.89280319213867,NaN,NaN,ab,33,623
623,253522,58787.53125,hsc::z,2208.1595578827796,AB,NaN,1,113.31730563908833,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58820.2890625,hsc::z,744.3596854791859,AB,NaN,1,118.42597946680364,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58814.2421875,hsc::z,718.1148742360065,AB,NaN,1,132.67306644076658,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58814.23828125,hsc::z,744.9254516167241,AB,NaN,1,137.90007702399592,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58779.5390625,hsc::z,2103.7308799401126,AB,NaN,1,109.26063760806566,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58779.51953125,hsc::z,2485.8328007573546,AB,NaN,1,99.36188247804121,32.092803955078125,NaN,NaN,ab,34,623
623,253522,58753.34375,hsc::g,2007.9123363372873,AB,NaN,1,107.92145970540368,33.092803955078125,NaN,NaN,ab,32,623
623,253522,58753.43359375,hsc::g,2180.984640060097,AB,NaN,1,96.55471117183669,33.092803955078125,NaN,NaN,ab,32,623
623,253522,58783.4375,hsc::i2,2863.543434390727,AB,NaN,1,158.34695569902183,32.89280319213867,NaN,NaN,ab,33,623
656,232467,57805.34765625,hsc::z,4540.4181760140855,AB,NaN,1,124.79903386445281,31.978408813476562,NaN,NaN,ab,39,656
656,232467,57816.31640625,hsc::z,5210.153544750457,AB,NaN,1,84.08510610945459,31.978408813476562,NaN,NaN,ab,39,656
656,232467,57834.44140625,hsc::z,3180.6508605409495,AB,NaN,1,81.21323124254907,31.978408813476562,NaN,NaN,ab,39,656
656,232467,57834.296875,hsc::g,607.8967226120142,AB,NaN,1,63.23818332385992,32.53818130493164,NaN,NaN,ab,36,656
656,232467,57809.4296875,hsc::i2,11211.054801913117,AB,NaN,1,338.021363297702,32.77840805053711,NaN,NaN,ab,37,656
656,232467,57837.2734375,hsc::r2,2870.8686352699383,AB,NaN,1,130.99207339354064,32.53818130493164,NaN,NaN,ab,38,656
656,232467,57819.45703125,hsc::Y,2661.4562174978923,AB,NaN,1,66.06003748653069,31.57840919494629,NaN,NaN,ab,35,656
656,232467,57818.53125,hsc::r2,6681.825824278335,AB,NaN,1,149.63460302527378,32.53818130493164,NaN,NaN,ab,38,656
656,232467,57807.48046875,hsc::r2,6877.398122566455,AB,NaN,1,75.7338238778457,32.53818130493164,NaN,NaN,ab,38,656
656,232467,57834.48828125,hsc::z,2870.4919482394534,AB,NaN,1,273.7413638875139,31.978408813476562,NaN,NaN,ab,39,656
696,228468,57783.44140625,hsc::i2,3387.5840604210566,AB,NaN,1,168.91353212692968,32.89280319213867,NaN,NaN,ab,41,696
696,228468,57811.40625,hsc::Y,953.2099824550447,AB,NaN,1,159.23065688818366,31.69280242919922,NaN,NaN,ab,40,696
696,228468,57783.4453125,hsc::i2,3420.8542062414053,AB,NaN,1,226.56026133049957,32.89280319213867,NaN,NaN,ab,41,696
696,228468,57809.41796875,hsc::i2,1596.6155078185475,AB,NaN,1,197.91171255751064,32.89280319213867,NaN,NaN,ab,41,696
696,228468,57805.359375,hsc::z,1338.8892405302834,AB,NaN,1,131.69903432414978,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57776.3984375,hsc::r2,1763.9302363943893,AB,NaN,1,87.32236496091777,33.092803955078125,NaN,NaN,ab,42,696
696,228468,57786.45703125,hsc::r2,1587.3776514519893,AB,NaN,1,94.46201046729816,33.092803955078125,NaN,NaN,ab,42,696
696,228468,57774.48828125,hsc::z,1613.678762623852,AB,NaN,1,43.70341923241046,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57774.4921875,hsc::z,1656.8996456552677,AB,NaN,1,45.014675112579866,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57783.5703125,hsc::z,2143.3621652961056,AB,NaN,1,98.51904116096948,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57783.57421875,hsc::z,1944.6997232808715,AB,NaN,1,97.27492009383143,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57805.35546875,hsc::z,1214.7121735121452,AB,NaN,1,110.51105888651453,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57805.36328125,hsc::z,1296.454029644399,AB,NaN,1,72.80116932688493,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57834.42578125,hsc::z,400.7930007044039,AB,NaN,1,75.70259354354887,32.092803955078125,NaN,NaN,ab,43,696
696,228468,57816.46484375,hsc::i2,1073.1865491939895,AB,NaN,1,149.39186852099135,32.89280319213867,NaN,NaN,ab,41,696
699,255118,58869.28125,hsc::Y,1425.182358135335,AB,NaN,1,74.88674666981929,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58876.2421875,hsc::Y,1442.6656139189067,AB,NaN,1,95.1948660189821,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58876.27734375,hsc::Y,1248.2127526592274,AB,NaN,1,85.18231070251264,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58903.26953125,hsc::i2,841.7917553737998,AB,NaN,1,167.42315888487386,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58874.33203125,hsc::i2,3151.014878359632,AB,NaN,1,138.76641818543743,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58876.2734375,hsc::Y,1286.7611334857331,AB,NaN,1,71.72430638450608,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58874.3359375,hsc::i2,3014.7018748623227,AB,NaN,1,136.3795177884132,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58903.2578125,hsc::i2,917.0506721736183,AB,NaN,1,138.89408360738767,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58903.265625,hsc::i2,1025.7210878671258,AB,NaN,1,161.5432642159415,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58903.26171875,hsc::i2,1043.1550302127405,AB,NaN,1,118.17642260758362,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58874.32421875,hsc::i2,3321.2863966315417,AB,NaN,1,103.42116207721362,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58869.2734375,hsc::Y,1170.4639723216205,AB,NaN,1,75.37522584877846,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58869.27734375,hsc::Y,1314.2191523584731,AB,NaN,1,101.84484986583514,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58903.25390625,hsc::i2,1198.066246368306,AB,NaN,1,193.77060187029738,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58876.28125,hsc::Y,1327.0565628517195,AB,NaN,1,93.58847118590005,31.69280242919922,NaN,NaN,ab,44,699
699,255118,58874.3046875,hsc::i2,3052.2817415548147,AB,NaN,1,210.81873403794557,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58874.328125,hsc::i2,3173.090980091291,AB,NaN,1,113.47814129468414,32.89280319213867,NaN,NaN,ab,45,699
699,255118,58874.2578125,hsc::z,2756.875962902545,AB,NaN,1,287.0340772891412,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.25390625,hsc::z,1973.053116870397,AB,NaN,1,193.03876916526895,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.25,hsc::z,1986.440515238992,AB,NaN,1,143.1680549214193,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.24609375,hsc::z,1905.4789326155922,AB,NaN,1,102.07356840839529,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.2421875,hsc::z,2013.9063386162254,AB,NaN,1,102.22824201967202,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.23828125,hsc::z,1662.341805632086,AB,NaN,1,255.08832657720225,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58874.234375,hsc::z,2360.457971656476,AB,NaN,1,300.9454212689196,32.092803955078125,NaN,NaN,ab,46,699
699,255118,58867.31640625,hsc::z,1463.8932907932326,AB,NaN,1,243.16661506743927,32.092803955078125,NaN,NaN,ab,46,699
758,228463,57842.2734375,hsc::i2,7826.3180995275525,AB,NaN,1,112.10007963054493,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57835.2578125,hsc::i2,8912.832957426159,AB,NaN,1,136.2765493944622,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57816.46484375,hsc::i2,6428.659398638371,AB,NaN,1,155.12774864658402,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57809.44140625,hsc::i2,3125.068805926454,AB,NaN,1,333.7352856176825,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57809.421875,hsc::i2,3115.3339297968487,AB,NaN,1,233.10192215537407,32.77840805053711,NaN,NaN,ab,49,758
758,228463,57866.36328125,hsc::z,2021.1408378499686,AB,NaN,1,105.36989510425268,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57834.3046875,hsc::g,1091.565920479936,AB,NaN,1,55.74130165971073,32.53818130493164,NaN,NaN,ab,48,758
758,228463,57833.3984375,hsc::Y,3376.215811736729,AB,NaN,1,188.36204643269326,31.69280242919922,NaN,NaN,ab,47,758
758,228463,57833.37109375,hsc::Y,3043.223351908753,AB,NaN,1,90.81757298757805,31.69280242919922,NaN,NaN,ab,47,758
758,228463,57842.27734375,hsc::i2,7753.199008335665,AB,NaN,1,123.78473105666957,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57833.36328125,hsc::Y,2886.304951237018,AB,NaN,1,147.5546720707279,31.69280242919922,NaN,NaN,ab,47,758
758,228463,57809.41796875,hsc::i2,3307.3251539337866,AB,NaN,1,199.33239338426586,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57833.3671875,hsc::Y,3201.4457569466613,AB,NaN,1,126.2421852398648,31.69280242919922,NaN,NaN,ab,47,758
758,228463,57869.26171875,hsc::i2,2185.6284708629905,AB,NaN,1,164.2123813686087,32.89280319213867,NaN,NaN,ab,49,758
758,228463,57805.35546875,hsc::z,555.6413177280483,AB,NaN,1,109.55634584784652,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57866.359375,hsc::z,2190.8591743987413,AB,NaN,1,97.01054321526571,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57866.3515625,hsc::z,2169.624030124839,AB,NaN,1,275.60135260083416,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57866.33984375,hsc::z,1942.3045196989333,AB,NaN,1,332.39382259050285,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57834.43359375,hsc::z,3883.46555685946,AB,NaN,1,66.70167352633331,31.978408813476562,NaN,NaN,ab,51,758
758,228463,57834.4296875,hsc::z,4221.782331602088,AB,NaN,1,77.74212545530328,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57834.42578125,hsc::z,4161.008708332257,AB,NaN,1,83.25719010848799,32.092803955078125,NaN,NaN,ab,51,758
758,228463,57834.421875,hsc::z,4114.57582076281,AB,NaN,1,107.14803921649259,32.092803955078125,NaN,NaN,ab,51,758
